tran_id,cust_id,tran_amount,tran_type,country_cd,tran_date
TD_100000,cust_9514,1800819.7,D,PAL,2022-05-09
FX_100001,cust_7514,66859.69,D,USA,2022-05-09
FX_100002,cust_3864,4035908.26,C,PAL,2022-05-09
FX_100003,cust_6096,5937809.91,C,IND,2022-05-09
FX_100004,cust_4678,913168.9,C,AFG,2022-05-09
TD_100005,cust_9664,1272659.7,D,AFG,2022-05-09
FX_100006,cust_6757,5447409.15,D,JPN,2022-05-09
FX_100007,cust_5499,3242600.14,C,KON,2022-05-09
TD_100008,cust_8294,1014458.98,D,CHN,2022-05-09
TD_100009,cust_6006,777245.87,C,CHN,2022-05-09
FX_100010,cust_3452,3072930.39,D,JPN,2022-05-09
FX_100011,cust_1186,8883195.14,D,CAN,2022-05-09
FX_100012,cust_2233,2671482.71,D,CHN,2022-05-09
TD_100013,cust_6017,6841521.72,C,AFG,2022-05-09
TD_100014,cust_5341,4834090.46,C,AFG,2022-05-09
FX_100015,cust_3407,2394793.32,D,USA,2022-05-09
TD_100016,cust_3448,2238133.55,C,KON,2022-05-09
FX_100017,cust_5212,6565497.01,D,KON,2022-05-09
FX_100018,cust_9302,1096486.47,D,JPN,2022-05-09
TD_100019,cust_6711,4272405.35,C,CHN,2022-05-09
TD_100020,cust_6132,4296863.7,C,JPN,2022-05-09
FX_100021,cust_5213,7189833.81,D,KON,2022-05-09
TD_100022,cust_3666,3749826.42,C,PAL,2022-05-09
FX_100023,cust_4959,9043946.07,D,CHN,2022-05-09
TD_100024,cust_8359,9761458.1,D,PAL,2022-05-09
TD_100025,cust_3099,6753144.86,C,KON,2022-05-09
FX_100026,cust_8172,8066894.55,C,PAL,2022-05-09
FX_100027,cust_1958,2050448.94,D,CHN,2022-05-09
FX_100028,cust_5486,8322954.73,C,KON,2022-05-09
TD_100029,cust_9262,6807633.67,C,PAL,2022-05-09
TD_100030,cust_8521,2367794.87,D,IND,2022-05-09
FX_100031,cust_1386,2495839.87,C,KON,2022-05-09
TD_100032,cust_2898,5858009.04,C,KON,2022-05-09
TD_100033,cust_2286,9177527.95,C,JPN,2022-05-09
TD_100034,cust_8306,8208295.49,D,KON,2022-05-09
TD_100035,cust_5782,6097105.04,C,KON,2022-05-09
FX_100036,cust_7168,4950800.38,C,CAN,2022-05-09
TD_100037,cust_8584,2471780.13,C,KON,2022-05-09
TD_100038,cust_5760,5275548.81,D,CAN,2022-05-09
FX_100039,cust_3889,6840101.76,D,PAL,2022-05-09
FX_100040,cust_5621,5058442.77,D,PAL,2022-05-09
FX_100041,cust_5558,7376293.26,C,KON,2022-05-09
TD_100042,cust_5163,4683367.95,C,KON,2022-05-09
FX_100043,cust_8377,8220451.95,C,IND,2022-05-09
FX_100044,cust_1886,4533346.59,D,PAL,2022-05-09
FX_100045,cust_7362,5485430.96,D,PAL,2022-05-09
TD_100046,cust_4990,348251.52,D,USA,2022-05-09
FX_100047,cust_4970,9553654.13,C,PAL,2022-05-09
FX_100048,cust_1882,6132398.55,D,CHN,2022-05-09
TD_100049,cust_4405,1546347.48,D,JPN,2022-05-09
FX_100050,cust_3883,2690466.8,C,CAN,2022-05-09
TD_100051,cust_1257,3988897.4,D,CHN,2022-05-09
TD_100052,cust_8345,4850424.65,D,USA,2022-05-09
TD_100053,cust_2984,270542.76,D,USA,2022-05-09
FX_100054,cust_7177,6865391.17,C,CAN,2022-05-09
TD_100055,cust_2864,5907066.47,C,USA,2022-05-09
TD_100056,cust_6193,1049668.18,D,AFG,2022-05-09
FX_100057,cust_3261,6914079.82,C,JPN,2022-05-09
TD_100058,cust_6765,713897.68,C,JPN,2022-05-09
TD_100059,cust_5563,7837288.51,D,KON,2022-05-09
FX_100060,cust_9358,4334693.78,C,AFG,2022-05-09
FX_100061,cust_2662,8146751.92,C,KON,2022-05-09
FX_100062,cust_3280,4222208.53,D,AFG,2022-05-09
FX_100063,cust_1896,6109503.13,D,AFG,2022-05-09
TD_100064,cust_8354,733723.13,C,CHN,2022-05-09
TD_100065,cust_8070,9702120.24,D,CHN,2022-05-09
TD_100066,cust_6040,7338431.09,D,AFG,2022-05-09
TD_100067,cust_8969,3753864.02,D,CHN,2022-05-09
TD_100068,cust_7005,6838120.32,C,CAN,2022-05-09
TD_100069,cust_9161,162444.69,C,AFG,2022-05-09
FX_100070,cust_5834,4779119.5,D,JPN,2022-05-09
FX_100071,cust_7066,1230231.48,D,PAL,2022-05-09
TD_100072,cust_7185,8790932.84,D,CHN,2022-05-09
TD_100073,cust_7802,2462511.4,C,JPN,2022-05-09
FX_100074,cust_8774,433783.6,C,AFG,2022-05-09
FX_100075,cust_7343,5737743.85,D,IND,2022-05-09
TD_100076,cust_9248,1684150.06,C,CAN,2022-05-09
TD_100077,cust_7418,9229585.52,C,AFG,2022-05-09
FX_100078,cust_4698,3272700.84,D,CAN,2022-05-09
FX_100079,cust_4837,3040170.27,D,IND,2022-05-09
TD_100080,cust_8330,9913226.61,C,AFG,2022-05-09
TD_100081,cust_7978,9644369.71,D,PAL,2022-05-09
FX_100082,cust_8247,4063239.82,D,AFG,2022-05-09
TD_100083,cust_6553,1202035.38,D,AFG,2022-05-09
TD_100084,cust_3174,4879979.71,D,KON,2022-05-09
FX_100085,cust_3589,7556588.55,C,CHN,2022-05-09
FX_100086,cust_5879,5086441.37,D,USA,2022-05-09
TD_100087,cust_7778,79018.67,D,KON,2022-05-09
TD_100088,cust_3808,9499241.24,D,PAL,2022-05-09
TD_100089,cust_7649,3283404.46,C,KON,2022-05-09
TD_100090,cust_3157,6583008.64,C,PAL,2022-05-09
TD_100091,cust_4883,3169778.51,D,CHN,2022-05-09
TD_100092,cust_6686,2826059.13,D,IND,2022-05-09
FX_100093,cust_9438,3963173.09,D,JPN,2022-05-09
FX_100094,cust_5092,5816898.76,C,CHN,2022-05-09
FX_100095,cust_3091,9796153.94,C,IND,2022-05-09
TD_100096,cust_9426,6841766.14,C,CAN,2022-05-09
TD_100097,cust_2919,196343.49,D,IND,2022-05-09
FX_100098,cust_2917,7240022.14,C,CHN,2022-05-09
FX_100099,cust_7047,5136749.6,C,JPN,2022-05-09
TD_100100,cust_9582,4920540.04,C,JPN,2022-05-09
TD_100101,cust_8720,6332346.34,D,JPN,2022-05-09
FX_100102,cust_2809,1049334.86,C,CHN,2022-05-09
FX_100103,cust_9201,3913261.9,C,USA,2022-05-09
TD_100104,cust_3265,3083724.63,C,PAL,2022-05-09
TD_100105,cust_2290,6879356.71,C,USA,2022-05-09
TD_100106,cust_4216,6672403.22,D,JPN,2022-05-09
TD_100107,cust_6575,8582331.23,C,IND,2022-05-09
TD_100108,cust_9871,5926231.47,D,KON,2022-05-09
