tran_id,cust_id,tran_date,tran_ammount,tran_type,state_cd
105000,CA3399,2022-02-03,513873.64,C,FL
105001,CA6051,2022-02-03,8773468.42,C,NY
105002,CA6380,2022-02-03,8760510.44,C,CA
105003,CA3622,2022-02-03,2297226.92,C,NY
105004,CA1737,2022-02-03,5197676.08,C,NY
105005,CA2949,2022-02-03,5439950.3,C,MI
105006,CA1393,2022-02-03,5059664.74,C,MD
105007,CA4433,2022-02-03,1493523.95,C,CA
105008,CA8307,2022-02-03,1640259.27,C,FL
105009,CA8806,2022-02-03,1936844.06,D,CA
105010,CA1195,2022-02-03,8907520.46,D,OH
105011,CA2524,2022-02-03,6824670.66,C,CA
105012,CA9125,2022-02-03,7612248.96,C,OH
105013,CA7975,2022-02-03,19492.35,D,WA
105014,CA6385,2022-02-03,3777713.17,D,WA
105015,CA2275,2022-02-03,2350898.75,D,NY
105016,CA7349,2022-02-03,2401204.85,C,NJ
105017,CA8570,2022-02-03,4583324.79,D,FL
105018,CA1883,2022-02-03,9381447.53,C,NJ
105019,CA2981,2022-02-03,598251.25,D,VA
105020,CA4947,2022-02-03,3770306.69,D,IN
105021,CA2938,2022-02-03,3937181.49,D,NJ
105022,CA1360,2022-02-03,468451.92,C,IN
105023,CA6104,2022-02-03,765948.6,C,FL
105024,CA2970,2022-02-03,8633387.59,C,MI
105025,CA1824,2022-02-03,7257371.05,D,FL
105026,CA9124,2022-02-03,2999943.42,C,MD
105027,CA5516,2022-02-03,5135371.68,C,FL
105028,CA9105,2022-02-03,3014623.53,D,MD
105029,CA9931,2022-02-03,8115694.98,C,OH
105030,CA8818,2022-02-03,8470508.67,C,OH
105031,CA6468,2022-02-03,2735325.89,C,FL
105032,CA4040,2022-02-03,609838.41,C,NJ
105033,CA7535,2022-02-03,9581375.96,D,WA
105034,CA8707,2022-02-03,2419080.7,C,NY
105035,CA3698,2022-02-03,364509.6,D,MD
105036,CA5818,2022-02-03,8199324.89,D,IN
105037,CA1203,2022-02-03,8004734.4,D,NY
105038,CA8036,2022-02-03,7763622.98,C,NJ
105039,CA6555,2022-02-03,5622192.32,D,IN
105040,CA6656,2022-02-03,7771791.36,D,VA
105041,CA9326,2022-02-03,1081936.26,D,CA
105042,CA5105,2022-02-03,4550650.35,D,CA
105043,CA2178,2022-02-03,5968288.85,D,CA
105044,CA5314,2022-02-03,4524097.0,C,VA
105045,CA7520,2022-02-03,4914012.21,D,MI
105046,CA5976,2022-02-03,6637805.02,D,FL
105047,CA6551,2022-02-03,2116580.84,D,OH
105048,CA2972,2022-02-03,1052844.57,C,VA
105049,CA4383,2022-02-03,7360536.37,D,IN
105050,CA7419,2022-02-03,8112003.61,C,MD
105051,CA9186,2022-02-03,1300107.57,C,MD
105052,CA4930,2022-02-03,5107019.61,C,FL
105053,CA5361,2022-02-03,7735477.61,D,IN
105054,CA1086,2022-02-03,7783546.15,C,MD
105055,CA2150,2022-02-03,1468227.41,D,WA
105056,CA4478,2022-02-03,2543992.76,C,WA
105057,CA1044,2022-02-03,4116298.51,D,WA
105058,CA7651,2022-02-03,2538283.46,D,OH
105059,CA8937,2022-02-03,3049427.78,C,VA
105060,CA9328,2022-02-03,7109102.36,D,NJ
105061,CA4513,2022-02-03,4159742.13,D,FL
105062,CA3223,2022-02-03,4636718.22,D,VA
105063,CA2799,2022-02-03,9625874.97,D,MD
105064,CA7669,2022-02-03,102904.85,C,MD
