tran_id,cust_id,tran_amount,tran_type,country_cd,tran_date
FX_122908,cust_2103,5647791.66,D,PAL,2022-05-14
TD_122909,cust_1009,3265848.32,C,CHN,2022-05-14
TD_122910,cust_1857,4168685.71,D,JPN,2022-05-14
FX_122911,cust_6117,4286057.97,C,AFG,2022-05-14
TD_122912,cust_1157,1503267.72,C,PAL,2022-05-14
TD_122913,cust_9037,218993.45,D,IND,2022-05-14
FX_122914,cust_8418,1984435.08,D,JPN,2022-05-14
FX_122915,cust_9523,4839953.84,D,PAL,2022-05-14
FX_122916,cust_5689,7740405.34,D,CHN,2022-05-14
TD_122917,cust_6205,4560734.89,D,CAN,2022-05-14
TD_122918,cust_2275,9253046.86,C,CHN,2022-05-14
FX_122919,cust_2988,7167406.6,C,KON,2022-05-14
TD_122920,cust_6346,6422754.82,C,KON,2022-05-14
FX_122921,cust_9537,9328022.85,D,IND,2022-05-14
FX_122922,cust_5601,989011.2,D,PAL,2022-05-14
TD_122923,cust_7827,762048.97,D,KON,2022-05-14
FX_122924,cust_8401,7090504.27,D,IND,2022-05-14
TD_122925,cust_8596,5289637.91,C,KON,2022-05-14
FX_122926,cust_5279,6689341.61,D,IND,2022-05-14
FX_122927,cust_3137,9684491.6,C,JPN,2022-05-14
TD_122928,cust_2880,1410931.04,C,KON,2022-05-14
TD_122929,cust_3103,2570818.0,D,JPN,2022-05-14
FX_122930,cust_5108,624026.24,D,KON,2022-05-14
FX_122931,cust_5288,7033961.48,C,IND,2022-05-14
FX_122932,cust_9994,4904159.84,D,KON,2022-05-14
TD_122933,cust_6780,147529.45,D,USA,2022-05-14
TD_122934,cust_5628,1859461.0,C,USA,2022-05-14
FX_122935,cust_1905,3403880.42,C,IND,2022-05-14
TD_122936,cust_5977,5236472.35,C,CAN,2022-05-14
FX_122937,cust_9939,4281702.97,D,CHN,2022-05-14
FX_122938,cust_3797,8286238.63,D,CAN,2022-05-14
FX_122939,cust_3395,6512971.8,C,USA,2022-05-14
FX_122940,cust_4894,5373696.07,D,AFG,2022-05-14
FX_122941,cust_9774,8197503.58,C,PAL,2022-05-14
FX_122942,cust_6746,5972976.41,D,CAN,2022-05-14
FX_122943,cust_8848,9737198.5,C,KON,2022-05-14
FX_122944,cust_5266,2882693.84,D,USA,2022-05-14
FX_122945,cust_8943,1445619.41,C,KON,2022-05-14
FX_122946,cust_9153,6624370.91,C,AFG,2022-05-14
TD_122947,cust_7665,9031818.66,C,USA,2022-05-14
TD_122948,cust_4571,8926556.01,D,CHN,2022-05-14
FX_122949,cust_4718,5505345.08,C,USA,2022-05-14
FX_122950,cust_9378,2235581.28,C,AFG,2022-05-14
FX_122951,cust_1883,7801682.97,D,IND,2022-05-14
FX_122952,cust_8435,4816610.4,D,AFG,2022-05-14
TD_122953,cust_2761,2022450.98,C,USA,2022-05-14
TD_122954,cust_6831,3361473.8,C,AFG,2022-05-14
TD_122955,cust_1208,9147560.24,D,IND,2022-05-14
FX_122956,cust_7124,1908124.12,C,KON,2022-05-14
FX_122957,cust_2388,232432.54,C,CAN,2022-05-14
TD_122958,cust_2587,1381225.82,D,KON,2022-05-14
FX_122959,cust_7290,4068661.06,C,PAL,2022-05-14
FX_122960,cust_2766,5917375.9,C,JPN,2022-05-14
FX_122961,cust_2491,3082743.57,D,CAN,2022-05-14
FX_122962,cust_6498,6759424.24,D,IND,2022-05-14
FX_122963,cust_5453,6147470.18,C,AFG,2022-05-14
TD_122964,cust_2766,439710.35,D,IND,2022-05-14
TD_122965,cust_1484,1391677.84,C,CAN,2022-05-14
FX_122966,cust_4039,4059838.08,C,CAN,2022-05-14
TD_122967,cust_4896,5592688.65,C,IND,2022-05-14
TD_122968,cust_6506,6736931.22,D,USA,2022-05-14
FX_122969,cust_7726,3733101.52,C,IND,2022-05-14
TD_122970,cust_9051,6441396.85,D,USA,2022-05-14
TD_122971,cust_5490,9038757.22,C,IND,2022-05-14
TD_122972,cust_9554,216445.98,C,CHN,2022-05-14
TD_122973,cust_9206,1250878.09,D,AFG,2022-05-14
TD_122974,cust_9878,6299604.89,C,KON,2022-05-14
TD_122975,cust_6010,9631357.36,D,CAN,2022-05-14
TD_122976,cust_4494,4865125.68,D,AFG,2022-05-14
TD_122977,cust_1167,9071584.29,D,CAN,2022-05-14
TD_122978,cust_1598,2356861.95,C,KON,2022-05-14
FX_122979,cust_9065,6286168.27,C,AFG,2022-05-14
FX_122980,cust_2855,3989728.49,C,PAL,2022-05-14
TD_122981,cust_9358,1716576.65,D,IND,2022-05-14
TD_122982,cust_9303,3684415.22,C,CHN,2022-05-14
TD_122983,cust_2738,797844.28,D,CHN,2022-05-14
FX_122984,cust_5765,4522622.44,D,KON,2022-05-14
TD_122985,cust_7124,8245791.85,C,JPN,2022-05-14
FX_122986,cust_7047,30751.73,D,CAN,2022-05-14
FX_122987,cust_7375,8199766.57,D,AFG,2022-05-14
FX_122988,cust_8805,5752337.31,D,AFG,2022-05-14
TD_122989,cust_1060,3150974.46,C,KON,2022-05-14
FX_122990,cust_3065,6463285.46,C,IND,2022-05-14
FX_122991,cust_3113,7040178.86,C,AFG,2022-05-14
TD_122992,cust_6958,728124.89,D,CHN,2022-05-14
TD_122993,cust_8995,4524105.01,C,IND,2022-05-14
FX_122994,cust_9515,7715095.43,C,IND,2022-05-14
FX_122995,cust_5065,7845763.8,D,USA,2022-05-14
