orderid,brand_name,product_name,sales_ammount,sales_date
0000001,Samsung,watch320,7993.41,2020-03-25
0000002,Nokia,Nk320,79697.87,2019-10-09
0000003,Samsung,watch320,23159.11,2019-01-03
0000004,Apple,iphone11,64997.9,2018-07-14
0000005,Apple,iphoneSE,28795.08,2018-09-24
0000006,Samsung,galaxy13,43500.64,2019-11-22
0000007,Samsung,galaxy12,63601.32,2018-09-13
0000008,Apple,iphone12,23495.1,2019-10-31
0000009,Samsung,galaxy10,95179.15,2019-08-04
0000010,Samsung,watch320,70343.38,2019-11-11
0000011,Nokia,Nk320,88283.33,2019-02-15
0000012,Apple,iphoneSE,60298.87,2019-07-27
0000013,Apple,iphoneSE,26039.57,2018-05-08
0000014,Samsung,galaxy12,80936.83,2018-12-11
0000015,Samsung,galaxy13,85095.77,2020-04-24
0000016,Apple,iphone11,27499.98,2019-11-20
0000017,Apple,iphoneSE,25594.83,2019-07-04
0000018,Nokia,Nk400,19282.33,2019-01-29
0000019,Apple,laptop256,53611.72,2019-06-01
0000020,Nokia,Nk320,49649.45,2019-12-23
0000021,Nokia,Nk500,77164.5,2019-08-06
0000022,Samsung,galaxy12,94218.88,2018-09-08
0000023,Nokia,Nk400,16991.54,2018-06-14
0000024,Samsung,watch320,7529.91,2019-08-09
0000025,Samsung,galaxy10,8174.99,2019-11-14
0000026,Nokia,Nk320,51967.87,2020-02-08
0000027,Samsung,watch340,5812.01,2018-08-28
0000028,Samsung,galaxy13,90556.92,2019-04-30
0000029,Nokia,Nk500,86827.74,2019-12-22
0000030,Apple,IpadMax,5477.9,2019-12-08
0000031,Nokia,Nk500,6067.41,2018-07-14
0000032,Nokia,Nk400,84015.23,2018-05-27
0000033,Nokia,Nk500,45467.63,2019-02-24
0000034,Apple,iphoneSE,74884.4,2020-03-05
0000035,Apple,iphoneSE,12822.98,2018-06-02
0000036,Samsung,galaxy11,32956.35,2018-08-29
0000037,Samsung,galaxy12,79262.13,2019-03-15
0000038,Nokia,Nk400,56252.74,2019-02-16
0000039,Samsung,watch320,37772.08,2019-12-11
0000040,Apple,iphone13,4192.58,2018-11-14
0000041,Samsung,galaxy12,47515.97,2018-05-07
0000042,Samsung,watch320,36251.86,2018-12-11
0000043,Apple,iphoneSE,27603.88,2019-05-31
0000044,Apple,iphoneSE,12632.06,2020-04-03
0000045,Samsung,galaxy10,54070.65,2019-05-12
0000046,Samsung,galaxy13,2881.65,2018-08-07
0000047,Nokia,Nk500,6067.06,2018-11-03
0000048,Samsung,galaxy10,99113.59,2019-12-18
0000049,Nokia,Nk400,49801.87,2018-05-11
0000050,Apple,iphone13,14542.08,2020-02-03
0000051,Nokia,Nk400,85137.57,2018-08-03
0000052,Samsung,watch320,83190.79,2019-10-29
0000053,Nokia,Nk320,78286.27,2019-10-23
0000054,Samsung,galaxy12,71019.29,2019-03-07
0000055,Nokia,Nk320,73894.14,2020-02-22
0000056,Samsung,galaxy11,4321.69,2020-02-04
0000057,Samsung,watch320,42421.83,2020-01-08
0000058,Samsung,galaxy12,7405.13,2019-09-09
0000059,Nokia,Nk500,31567.44,2019-04-20
0000060,Apple,IpadMax,30888.35,2019-04-27
0000061,Nokia,Nk320,64694.39,2020-04-10
0000062,Apple,IpadMax,55225.75,2020-04-16
0000063,Samsung,watch340,71925.32,2019-09-06
0000064,Apple,iphoneSE,72009.96,2020-01-10
