orderid,brand_name,product_name,sales_amount,sales_date
1000001,Apple,IpadMini,909.61,2022-03-07
1000002,Apple,IpadMini,737.89,2022-01-23
1000003,Nokia,Nk500,288.28,2022-02-09
1000004,Nokia,Nk320,321.69,2022-02-17
1000005,Samsung,galaxy12,121.55,2022-03-10
1000006,Apple,laptop256,795.48,2022-03-13
1000007,Apple,Macbook512,194.57,2022-02-21
1000008,Nokia,Nk500,264.83,2022-02-03
1000009,Nokia,Nk400,461.52,2022-03-26
1000010,Nokia,Nk400,246.92,2022-02-26
1000011,Samsung,watch320,663.36,2022-01-28
1000012,Apple,IpadMini,260.58,2022-01-28
1000013,Apple,Macbook512,177.53,2022-03-13
1000014,Nokia,Nk400,126.49,2022-01-15
1000015,Nokia,Nk400,430.09,2022-02-22
1000016,Apple,laptop256,146.43,2022-03-01
1000017,Apple,IpadMax,378.22,2022-01-05
1000018,Samsung,galaxy11,802.89,2022-03-12
1000019,Apple,IpadMini,354.64,2022-01-30
1000020,Nokia,Nk400,589.10,2022-01-02
1000021,Nokia,Nk500,768.21,2022-01-25
1000022,Samsung,galaxy13,629.19,2022-03-16
1000023,Samsung,galaxy13,544.61,2022-01-21
1000024,Nokia,Nk320,194.25,2022-03-28
1000025,Apple,iphone12,530.98,2022-01-30
1000026,Nokia,Nk500,558.69,2022-03-13
1000027,Apple,iphone11,898.66,2022-02-17
1000028,Nokia,Nk400,175.87,2022-01-19
1000029,Apple,laptop256,670.63,2022-01-11
1000030,Samsung,galaxy10,221.32,2022-02-05
1000031,Nokia,Nk320,733.92,2022-02-06
1000032,Nokia,Nk500,206.22,2022-03-08
1000033,Apple,IpadMax,468.89,2022-02-05
1000034,Apple,Macbook512,822.15,2022-01-20
1000035,Apple,iphone12,762.00,2022-02-12
1000036,Samsung,galaxy10,312.15,2022-01-01
1000037,Apple,iphone13,680.15,2022-02-21
1000038,Samsung,galaxy10,877.41,2022-03-16
1000039,Nokia,Nk320,204.49,2022-03-13
1000040,Apple,iphoneSE,570.67,2022-03-03
1000041,Samsung,galaxy12,544.47,2022-03-18
1000042,Samsung,watch320,179.71,2022-02-08
1000043,Samsung,watch320,654.08,2022-02-14
1000044,Nokia,Nk400,955.36,2022-03-23
1000045,Apple,laptop256,924.96,2022-03-28
1000046,Samsung,galaxy11,434.09,2022-02-20
1000047,Samsung,galaxy12,267.13,2022-02-24
1000048,Nokia,Nk500,798.72,2022-02-21
1000049,Nokia,Nk500,388.91,2022-03-08
1000050,Apple,iphoneSE,988.02,2022-03-20
1000051,Apple,IpadMini,809.21,2022-03-08
1000052,Nokia,Nk320,977.13,2022-03-13
1000053,Samsung,watch340,992.79,2022-01-26
1000054,Apple,iphone13,864.42,2022-01-21
1000055,Apple,IpadMax,229.04,2022-03-21
1000056,Samsung,watch320,453.07,2022-02-28
1000057,Samsung,galaxy10,911.80,2022-01-22
1000058,Apple,IpadMax,296.25,2022-01-05
1000059,Nokia,Nk500,683.82,2022-01-16
1000060,Nokia,Nk500,283.19,2022-01-14
1000061,Apple,IpadMini,162.25,2022-01-14
1000062,Apple,IpadMini,339.46,2022-02-12
1000063,Apple,iphoneSE,606.02,2022-03-30
1000064,Nokia,Nk500,776.05,2022-01-11
1000065,Samsung,watch320,653.93,2022-01-25
1000066,Samsung,galaxy11,293.82,2022-01-20
1000067,Samsung,galaxy13,353.64,2022-01-24
1000068,Apple,Macbook512,965.06,2022-03-06
1000069,Samsung,galaxy10,829.62,2022-03-04
1000070,Apple,laptop256,916.23,2022-03-08
1000071,Samsung,galaxy11,401.36,2022-03-15
1000072,Apple,iphone12,812.00,2022-02-19
1000073,Samsung,galaxy11,448.84,2022-01-10
1000074,Apple,iphoneSE,157.27,2022-02-25
1000075,Samsung,galaxy10,796.70,2022-03-27
1000076,Nokia,Nk400,526.51,2022-01-08
1000077,Samsung,watch340,444.67,2022-02-20
1000078,Samsung,galaxy10,346.69,2022-03-15
1000079,Samsung,galaxy11,394.96,2022-03-08
1000080,Nokia,Nk320,215.58,2022-01-18
1000081,Samsung,watch340,301.16,2022-02-06
1000082,Samsung,galaxy13,116.67,2022-03-18
1000083,Apple,iphone13,249.05,2022-02-27
1000084,Nokia,Nk500,161.61,2022-02-21
1000085,Samsung,galaxy11,235.13,2022-03-27
1000086,Samsung,galaxy10,569.44,2022-02-10
1000087,Nokia,Nk400,421.45,2022-03-14
1000088,Samsung,galaxy10,306.50,2022-03-09
1000089,Nokia,Nk320,136.49,2022-02-16
1000090,Samsung,galaxy11,327.02,2022-02-23
1000091,Nokia,Nk320,847.89,2022-01-24
1000092,Nokia,Nk320,355.44,2022-03-30
1000093,Nokia,Nk500,123.90,2022-03-07
1000094,Apple,iphone12,945.30,2022-03-08
1000095,Nokia,Nk500,521.14,2022-02-13
1000096,Apple,iphone11,530.06,2022-01-16
1000097,Samsung,galaxy11,357.10,2022-03-03
1000098,Apple,IpadMax,318.26,2022-02-25
1000099,Samsung,galaxy13,423.07,2022-03-17
1000100,Nokia,Nk320,105.60,2022-01-24
1000101,Samsung,watch340,319.68,2022-01-31
1000102,Nokia,Nk320,400.12,2022-01-14
1000103,Nokia,Nk400,148.85,2022-03-25
1000104,Nokia,Nk500,473.10,2022-03-04
1000105,Apple,iphone12,516.56,2022-03-05
1000106,Samsung,watch320,564.98,2022-02-13
1000107,Apple,laptop256,716.28,2022-03-07
1000108,Samsung,galaxy10,956.27,2022-01-13
1000109,Nokia,Nk320,856.66,2022-02-28
1000110,Samsung,galaxy12,346.95,2022-03-04
1000111,Apple,iphone11,722.17,2022-03-10
1000112,Apple,iphone11,896.32,2022-02-25
1000113,Nokia,Nk500,121.92,2022-03-10
1000114,Samsung,galaxy12,452.76,2022-02-26
1000115,Samsung,watch320,876.87,2022-01-04
1000116,Apple,iphone11,116.56,2022-03-02
1000117,Nokia,Nk400,505.22,2022-03-11
1000118,Nokia,Nk500,221.95,2022-02-09
1000119,Apple,iphone13,341.52,2022-01-12
1000120,Samsung,galaxy13,914.79,2022-01-21
1000121,Apple,iphone13,655.25,2022-01-08
1000122,Nokia,Nk500,901.04,2022-01-22
1000123,Samsung,galaxy10,649.37,2022-01-30
1000124,Nokia,Nk320,490.05,2022-02-27
1000125,Nokia,Nk400,526.42,2022-03-22
1000126,Apple,IpadMini,903.68,2022-03-20
1000127,Samsung,watch320,738.11,2022-01-28
1000128,Nokia,Nk500,878.41,2022-02-13
1000129,Nokia,Nk320,667.39,2022-02-10
1000130,Samsung,watch340,826.07,2022-03-09
1000131,Nokia,Nk320,604.96,2022-02-09
1000132,Apple,IpadMini,570.78,2022-02-23
1000133,Nokia,Nk500,121.97,2022-02-09
1000134,Nokia,Nk500,277.67,2022-03-17
1000135,Samsung,galaxy12,974.55,2022-01-19
1000136,Apple,iphone13,115.98,2022-01-08
1000137,Samsung,galaxy11,195.60,2022-01-26
1000138,Apple,IpadMini,965.77,2022-02-08
1000139,Samsung,galaxy13,219.62,2022-02-09
1000140,Apple,iphoneSE,557.68,2022-01-03
1000141,Samsung,watch320,932.98,2022-02-11
1000142,Samsung,galaxy12,602.13,2022-01-16
1000143,Apple,IpadMax,756.01,2022-03-19
1000144,Nokia,Nk500,109.55,2022-03-04
1000145,Nokia,Nk500,571.01,2022-01-24
1000146,Samsung,watch320,631.99,2022-02-26
1000147,Apple,IpadMini,265.36,2022-02-23
1000148,Apple,iphone11,234.26,2022-01-27
1000149,Apple,iphone11,983.81,2022-01-11
1000150,Apple,iphoneSE,510.42,2022-01-08
1000151,Apple,IpadMini,583.62,2022-02-02
1000152,Apple,iphone12,709.56,2022-01-13
1000153,Samsung,galaxy12,722.46,2022-02-12
1000154,Samsung,galaxy11,730.12,2022-03-05
1000155,Apple,IpadMax,689.23,2022-03-21
1000156,Apple,iphoneSE,682.06,2022-03-28
1000157,Samsung,galaxy11,297.02,2022-01-31
1000158,Nokia,Nk500,491.22,2022-01-14
1000159,Nokia,Nk400,715.54,2022-02-10
1000160,Nokia,Nk500,970.36,2022-02-07
1000161,Nokia,Nk400,187.77,2022-01-06
1000162,Apple,iphoneSE,989.53,2022-03-26
1000163,Nokia,Nk400,209.52,2022-02-24
1000164,Nokia,Nk500,435.93,2022-03-20
